pax_id,origin,destination,treq,tdep,ttrav,tarr,tdrop,shareable,schedule_id,dist
0,44873602,44852049,2023-01-05 11:55:57,,0 days 00:29:40,2023-01-05 12:25:37,,False,,1780
1,44841166,3377240325,2023-01-05 11:57:03,,0 days 00:50:56,2023-01-05 12:47:59,,False,,3056
2,365993503,44763130,2023-01-05 11:57:44,,0 days 01:16:10,2023-01-05 13:13:54,,False,,4570
3,4555788280,1448535917,2023-01-05 11:57:47,,0 days 00:14:08,2023-01-05 12:11:55,,False,,848
4,44821573,44822065,2023-01-05 11:58:46,,0 days 00:22:34,2023-01-05 12:21:20,,False,,1354
5,1571088417,44910798,2023-01-05 11:59:45,,0 days 01:14:11,2023-01-05 13:13:56,,False,,4451
6,874115743,44842009,2023-01-05 12:00:47,,0 days 00:22:57,2023-01-05 12:23:44,,False,,1377
7,44853253,4254658640,2023-01-05 12:03:18,,0 days 00:35:39,2023-01-05 12:38:57,,False,,2139
8,1448535920,44871617,2023-01-05 12:03:28,,0 days 00:40:30,2023-01-05 12:43:58,,False,,2430
9,44841994,44782444,2023-01-05 12:03:54,,0 days 00:50:34,2023-01-05 12:54:28,,False,,3034
10,1448535742,44777950,2023-01-05 12:04:03,,0 days 01:04:22,2023-01-05 13:08:25,,False,,3862
11,2162658839,4986579680,2023-01-05 12:04:04,,0 days 00:58:49,2023-01-05 13:02:53,,False,,3529
12,626010019,4261101530,2023-01-05 12:04:34,,0 days 00:24:52,2023-01-05 12:29:26,,False,,1492
13,486605682,3377240345,2023-01-05 12:05:24,,0 days 00:23:53,2023-01-05 12:29:17,,False,,1433
14,44901343,1470642651,2023-01-05 12:05:45,,0 days 01:05:04,2023-01-05 13:10:49,,False,,3904
15,44817944,3452839332,2023-01-05 12:05:59,,0 days 00:29:05,2023-01-05 12:35:04,,False,,1745
16,44841565,44827614,2023-01-05 12:06:23,,0 days 00:13:38,2023-01-05 12:20:01,,False,,818
17,1448535745,44850248,2023-01-05 12:07:10,,0 days 01:12:41,2023-01-05 13:19:51,,False,,4361
18,1391417404,3377240325,2023-01-05 12:07:49,,0 days 00:46:20,2023-01-05 12:54:09,,False,,2780
19,44838418,1571092174,2023-01-05 12:08:20,,0 days 00:41:02,2023-01-05 12:49:22,,False,,2462
20,44884493,1552650403,2023-01-05 12:08:47,,0 days 01:00:31,2023-01-05 13:09:18,,False,,3631
21,5315003498,44859599,2023-01-05 12:08:48,,0 days 00:54:14,2023-01-05 13:03:02,,False,,3254
22,1311557113,4300758655,2023-01-05 12:09:43,,0 days 00:31:13,2023-01-05 12:40:56,,False,,1873
23,610983540,1413910902,2023-01-05 12:11:06,,0 days 01:06:32,2023-01-05 13:17:38,,False,,3992
24,1435362415,1583939210,2023-01-05 12:11:46,,0 days 01:21:30,2023-01-05 13:33:16,,False,,4890
25,44739204,44744585,2023-01-05 12:11:48,,0 days 00:36:13,2023-01-05 12:48:01,,False,,2173
26,44752059,4254658640,2023-01-05 12:11:50,,0 days 00:33:10,2023-01-05 12:45:00,,False,,1990
27,44840453,44774832,2023-01-05 12:13:23,,0 days 00:38:32,2023-01-05 12:51:55,,False,,2312
28,1608998234,4554554060,2023-01-05 12:13:27,,0 days 00:50:48,2023-01-05 13:04:15,,False,,3048
29,44857299,1566353725,2023-01-05 12:13:57,,0 days 01:38:34,2023-01-05 13:52:31,,False,,5914
30,4349049062,260123525,2023-01-05 12:14:04,,0 days 00:03:57,2023-01-05 12:18:01,,False,,237
31,1570983109,1571088224,2023-01-05 12:14:15,,0 days 00:37:43,2023-01-05 12:51:58,,False,,2263
32,315119898,630748795,2023-01-05 12:14:39,,0 days 00:33:37,2023-01-05 12:48:16,,False,,2017
33,44823643,44814383,2023-01-05 12:15:16,,0 days 00:21:33,2023-01-05 12:36:49,,False,,1293
34,5492905825,894421661,2023-01-05 12:16:01,,0 days 00:57:14,2023-01-05 13:13:15,,False,,3434
35,1391417377,1448535914,2023-01-05 12:17:48,,0 days 00:55:52,2023-01-05 13:13:40,,False,,3352
36,1552650568,2598004622,2023-01-05 12:17:52,,0 days 00:24:27,2023-01-05 12:42:19,,False,,1467
37,44902192,44848435,2023-01-05 12:17:59,,0 days 00:27:46,2023-01-05 12:45:45,,False,,1666
38,1584013984,44838797,2023-01-05 12:18:12,,0 days 00:39:07,2023-01-05 12:57:19,,False,,2347
39,44795688,3880849366,2023-01-05 12:18:16,,0 days 01:13:05,2023-01-05 13:31:21,,False,,4385
40,44838367,3773543334,2023-01-05 12:18:25,,0 days 00:34:15,2023-01-05 12:52:40,,False,,2055
41,44831869,1413910863,2023-01-05 12:20:00,,0 days 00:20:19,2023-01-05 12:40:19,,False,,1219
42,1576632851,3720505062,2023-01-05 12:20:15,,0 days 00:38:07,2023-01-05 12:58:22,,False,,2287
43,630748795,626009973,2023-01-05 12:20:20,,0 days 00:41:40,2023-01-05 13:02:00,,False,,2500
44,44802443,44821572,2023-01-05 12:20:24,,0 days 00:13:36,2023-01-05 12:34:00,,False,,816
45,1566353972,1552650460,2023-01-05 12:20:46,,0 days 00:50:55,2023-01-05 13:11:41,,False,,3055
46,4349049062,4300909744,2023-01-05 12:22:17,,0 days 00:26:46,2023-01-05 12:49:03,,False,,1606
47,44715429,44782877,2023-01-05 12:22:40,,0 days 00:50:28,2023-01-05 13:13:08,,False,,3028
48,44845271,1552651408,2023-01-05 12:22:40,,0 days 00:27:22,2023-01-05 12:50:02,,False,,1642
49,44790565,3377240325,2023-01-05 12:23:00,,0 days 00:17:50,2023-01-05 12:40:50,,False,,1070
50,1435362498,643586468,2023-01-05 12:23:10,,0 days 00:34:32,2023-01-05 12:57:42,,False,,2072
51,3377240326,1435362501,2023-01-05 12:23:17,,0 days 00:44:34,2023-01-05 13:07:51,,False,,2674
52,1015968758,1391531780,2023-01-05 12:23:19,,0 days 00:55:00,2023-01-05 13:18:19,,False,,3300
53,44808020,1258470923,2023-01-05 12:23:26,,0 days 00:13:52,2023-01-05 12:37:18,,False,,832
54,1435362488,1584502773,2023-01-05 12:23:34,,0 days 00:44:50,2023-01-05 13:08:24,,False,,2690
55,1566353819,626009973,2023-01-05 12:23:42,,0 days 00:39:57,2023-01-05 13:03:39,,False,,2397
56,1402771664,1413911113,2023-01-05 12:24:24,,0 days 01:09:19,2023-01-05 13:33:43,,False,,4159
57,44847009,44775751,2023-01-05 12:25:02,,0 days 00:39:01,2023-01-05 13:04:03,,False,,2341
58,44712538,4244384215,2023-01-05 12:25:49,,0 days 01:09:04,2023-01-05 13:34:53,,False,,4144
59,2381861262,1433963031,2023-01-05 12:26:26,,0 days 01:19:46,2023-01-05 13:46:12,,False,,4786
60,4617340496,4655063484,2023-01-05 12:27:27,,0 days 00:14:32,2023-01-05 12:41:59,,False,,872
61,1433962853,2635624112,2023-01-05 12:27:48,,0 days 01:25:59,2023-01-05 13:53:47,,False,,5159
62,1519889905,44847503,2023-01-05 12:27:51,,0 days 01:34:14,2023-01-05 14:02:05,,False,,5654
